gene	frequency	observed	mean	median	pattern	pval	pvalr
Psmb7	5.7	135	3.8	1.0	Inactivating	1.26e-60	640
Rps6kb1	5.4	127	4.0	1.0	Indeterminate	1.51e-60	641
Jarid2	12.7	298	3.3	1.0	Inactivating	2.56e-60	642
Cept1	5.9	139	3.7	1.0	Inactivating	2.88e-60	643
Vps54	8.2	194	2.4	1.0	Inactivating	3.9e-60	644
Npepps	7.0	164	3.2	1.0	Inactivating	4.02e-60	645
Ranbp10	5.1	120	5.4	2.0	Inactivating	4.35e-60	646
Sltm	6.9	110	2.8	1.0	Inactivating	5.59e-60	647
Gtf2ird1	6.4	151	4.6	2.0	Inactivating	6.31e-60	648
Uso1	6.3	148	7.4	1.0	Inactivating	2.76e-59	649
Gigyf2	12.3	119	5.2	2.0	Inactivating	2.94e-59	650
Kif1b	10.0	214	4.3	1.5	Inactivating	3e-59	651
Dnmt3a	6.3	149	4.1	1.0	Inactivating	3.4e-59	652
Foxo3	6.7	157	3.1	1.0	Inactivating	4.86e-59	653
Zfp106	5.4	127	6.6	1.0	Inactivating	1.23e-58	654
Pgm2	5.6	120	2.6	1.0	Inactivating	1.29e-58	655
Luzp1	8.0	171	5.9	2.0	Inactivating	3.18e-58	656
Atf7ip	8.0	189	2.7	1.0	Inactivating	1.07e-57	657
Stat5b	5.7	134	4.1	1.0	Inactivating	1.44e-57	658
Ino80	8.7	204	4.1	2.0	Inactivating	1.83e-57	659
Psme4	9.8	231	4.4	2.0	Inactivating	1.91e-57	660
Xiap	5.2	123	2.6	1.0	Inactivating	2.75e-57	661
Myo10	10.5	246	18.4	1.0	Inactivating	4.84e-57	662
Ncoa3	6.6	155	4.2	2.0	Inactivating	5.55e-57	663
Acbd5	5.0	118	2.2	1.0	Inactivating	9.34e-57	664
Ppp1r13b	6.5	154	3.7	1.5	Inactivating	1.13e-56	665
Shroom3	14.5	341	3.6	2.0	Inactivating	1.33e-56	666
Arhgap42	16.7	268	2.9	1.0	Inactivating	1.08e-55	667
Hook3	8.5	200	4.5	2.0	Inactivating	1.11e-55	668
Lima1	6.8	159	3.5	1.0	Inactivating	1.45e-55	669
Nt5c2	9.1	214	3.0	1.0	Inactivating	1.54e-55	670
Arid5b	11.4	268	3.9	1.0	Inactivating	1.82e-55	671
Mkl1	10.5	246	3.3	1.0	Inactivating	2.98e-55	672
Cnot4	9.6	226	2.9	1.0	Inactivating	3.37e-55	673
Gcnt2	7.2	169	6.3	1.0	Inactivating	3.61e-55	674
Nktr	5.5	88	2.6	2.0	Inactivating	3.93e-55	675
Dnmbp	6.5	153	3.7	1.0	Inactivating	5.88e-55	676
Ptprf	5.5	118	9.2	1.0	Indeterminate	6.66e-55	677
Chd6	11.2	263	4.4	1.0	Inactivating	9.76e-55	678
Sept9	7.5	176	4.9	2.0	Inactivating	1.33e-54	679
Tbc1d15	5.6	133	4.5	1.0	Inactivating	3.49e-54	680
Pspc1	6.2	146	3.5	1.0	Inactivating	3.83e-54	681
Pex14	8.7	186	3.3	1.0	Inactivating	3.9e-54	682
Kpna1	5.9	138	2.8	1.0	Inactivating	5.38e-54	683
Btaf1	8.1	191	3.6	1.0	Inactivating	6.06e-54	684
Kif13b	9.7	229	3.0	1.0	Inactivating	6.17e-54	685
Dmxl1	11.7	276	5.6	1.0	Inactivating	8.65e-54	686
Foxn3	12.5	295	4.0	2.0	Inactivating	9.32e-54	687
Brip1os	8.9	210	2.5	1.0	Inactivating	2.05e-53	688
Nr1h4	7.0	165	3.2	2.0	Inactivating	2.17e-53	689
Sorbs2	18.1	426	3.6	2.0	Inactivating	2.27e-53	690
Pdcd10	5.3	125	2.7	1.0	Inactivating	2.56e-53	691
Lcorl	12.1	285	3.6	1.0	Inactivating	5.81e-53	692
Hipk3	6.7	158	3.0	1.0	Inactivating	6.55e-53	693
Rcor1	6.1	143	5.3	2.0	Inactivating	8.01e-53	694
Rmnd5a	5.4	127	2.9	2.0	Inactivating	8.5e-53	695
Zcchc6	5.1	119	2.6	1.0	Inactivating	1.23e-52	696
Ubap2l	5.9	138	2.5	1.0	Inactivating	4.18e-52	697
Adgrl2	10.4	244	3.7	2.0	Inactivating	5.75e-52	698
Fam178a	5.4	128	4.8	1.5	Inactivating	7.3e-52	699
Tmem245	6.6	142	9.8	1.0	Inactivating	9.58e-52	700
Ankrd28	10.9	256	2.4	1.0	Inactivating	1.25e-51	701
Smap1	8.3	80	4.4	1.5	Inactivating	1.54e-51	702
Tnpo3	6.6	155	2.4	1.0	Inactivating	5.27e-51	703
Abhd2	5.9	139	3.9	1.0	Inactivating	8.02e-51	704
Ylpm1	7.0	164	3.8	1.0	Inactivating	8.66e-51	705
Med13l	11.2	263	4.3	2.0	Inactivating	1.57e-50	706
Rad54l2	9.0	144	2.3	1.0	Inactivating	2.25e-50	707
Rfwd2	11.9	115	9.7	2.0	Inactivating	3.47e-50	708
Mga	7.1	166	2.9	1.0	Inactivating	4.79e-50	709
Rnf38	5.1	110	3.2	2.0	Inactivating	6.51e-50	710
Diap1	7.6	180	2.9	1.0	Inactivating	6.93e-50	711
Ptbp2	7.0	165	3.5	1.0	Inactivating	6.98e-50	712
Psmd14	8.7	204	4.4	1.0	Inactivating	7.2e-50	713
Arhgap12	8.6	203	2.9	1.0	Inactivating	2.02e-49	714
Golga4	7.5	120	2.8	1.0	Inactivating	2.52e-49	715
Cdc27	5.2	123	3.1	2.0	Inactivating	3.3e-49	716
Mprip	7.9	185	8.5	1.0	Inactivating	3.44e-49	717
Dnajc1	12.4	292	2.8	1.0	Inactivating	3.91e-49	718
Zfp609	11.1	178	2.3	1.0	Inactivating	4.25e-49	719
Mir3471-1	10.1	162	3.0	1.0	Inactivating	5.38e-49	720
Dicer1	5.6	132	3.1	2.0	Inactivating	1.43e-48	721
Spast	5.2	122	2.5	1.0	Inactivating	1.8e-48	722
Phf3	7.0	68	13.6	1.0	Inactivating	1.89e-48	723
Ncoa2	14.5	140	7.7	2.0	Indeterminate	2.67e-48	724
Mbd2	5.5	130	3.6	2.0	Inactivating	2.81e-48	725
Etfa	7.0	112	2.4	1.0	Inactivating	2.82e-48	726
Slain2	6.0	142	2.6	1.0	Inactivating	4.21e-48	727
Clcn3	7.2	170	3.4	1.0	Inactivating	9.97e-48	728
Osbpl8	9.8	230	2.9	1.0	Inactivating	4.06e-47	729
Kdm3b	5.4	127	3.8	1.0	Inactivating	4.28e-47	730
Fndc3a	11.4	268	10.0	1.0	Inactivating	4.46e-47	731
R3hdm2	7.6	179	3.8	1.0	Inactivating	5.05e-47	732
Tex2	6.6	155	7.8	1.0	Inactivating	7.5e-47	733
B4galt6	5.3	125	3.3	1.0	Inactivating	7.8e-47	734
Ubp1	5.6	90	1.9	1.0	Inactivating	1e-46	735
Kmt2a	7.2	115	6.9	1.0	Inactivating	1.45e-46	736
Arfgef1	9.8	95	5.4	2.0	Inactivating	1.6e-46	737
Dnm1l	5.6	132	3.9	1.0	Inactivating	2.04e-46	738
Tns3	11.1	261	4.3	1.0	Inactivating	2.21e-46	739
Creb1	7.8	75	5.0	1.0	Inactivating	3.66e-46	740
Ttc39c	6.3	148	6.3	2.0	Inactivating	6.09e-46	741
Rsf1os1	5.2	122	4.6	1.0	Inactivating	7.26e-46	742
Tmem56	5.2	123	2.7	1.0	Inactivating	7.55e-46	743
Prkaa2	7.1	151	4.3	1.0	Inactivating	9.83e-46	744
Mthfd1	5.2	123	4.0	1.0	Indeterminate	1.74e-45	745
Mon2	6.7	157	2.8	1.0	Inactivating	1.76e-45	746
Hira	7.2	169	3.7	1.0	Inactivating	1.78e-45	747
Sipa1l1	13.9	327	4.7	1.0	Inactivating	2.36e-45	748
Pah	5.5	130	4.5	1.0	Inactivating	2.67e-45	749
Sntb1	14.0	329	3.6	1.0	Inactivating	3.29e-45	750
U2surp	7.1	114	2.3	1.0	Inactivating	5.47e-45	751
Acsl1	5.1	120	3.6	1.0	Inactivating	1.14e-44	752
Mob3b	11.4	244	4.7	1.0	Inactivating	1.39e-44	753
Map7	8.5	201	6.7	2.0	Inactivating	2.13e-44	754
Sec24b	6.2	145	5.0	1.0	Inactivating	5.26e-44	755
Gak	5.3	125	3.7	1.0	Inactivating	1.57e-43	756
St5	6.5	154	2.9	1.0	Inactivating	1.75e-43	757
Hipk2	10.7	252	3.4	1.0	Inactivating	1.87e-43	758
Kynu	9.8	231	2.8	1.0	Inactivating	2.11e-43	759
Fnip1	7.5	176	3.8	2.0	Inactivating	2.16e-43	760
Huwe1	10.6	249	3.5	2.0	Inactivating	2.3e-43	761
Rnf115	5.6	131	16.0	2.0	Inactivating	2.35e-43	762
Pdlim5	11.6	272	3.5	1.0	Inactivating	3.4e-43	763
Pdpk1	5.9	140	3.1	1.0	Inactivating	6.54e-43	764
Gramd3	5.6	131	2.5	1.0	Inactivating	9.43e-43	765
Nr6a1	12.7	300	3.2	1.0	Inactivating	1.89e-42	766
Rbm27	6.2	147	4.6	1.0	Inactivating	3.6e-42	767
Rb1cc1	7.0	68	7.9	2.0	Inactivating	3.88e-42	768
Stam	5.6	131	3.1	1.0	Inactivating	3.9e-42	769
Gbf1	9.0	213	5.3	2.0	Inactivating	5.96e-42	770
Golim4	6.5	154	4.6	1.0	Inactivating	8.25e-42	771
Abcb11	7.4	175	5.2	1.0	Inactivating	1.22e-41	772
Ctdspl2	5.9	138	3.0	1.0	Inactivating	1.26e-41	773
Rhobtb1	5.4	128	4.8	1.0	Inactivating	1.57e-41	774
Kpna3	6.8	159	5.1	1.0	Inactivating	3.33e-41	775
Man1a	11.2	264	3.3	1.5	Inactivating	4.75e-41	776
Ppap2b	5.7	121	3.8	1.0	Inactivating	5.55e-41	777
Zbtb20	30.2	711	4.3	2.0	Inactivating	7.73e-41	778
Nrf1	7.5	176	6.8	1.0	Inactivating	8.75e-41	779
Pvrl3	8.2	193	4.3	1.0	Inactivating	1.17e-40	780
Mapk8	6.5	152	3.4	2.0	Inactivating	1.22e-40	781
Prkag2	10.2	239	4.1	1.0	Inactivating	2.28e-40	782
Ap3b1	11.8	278	3.6	1.0	Inactivating	3.38e-40	783
Pcx	6.7	158	7.7	1.0	Inactivating	3.93e-40	784
Pdzd8	5.3	124	3.8	2.0	Inactivating	4.35e-40	785
Ubap2	6.6	141	3.1	2.0	Inactivating	5.43e-40	786
Shoc2	7.5	176	2.9	1.0	Inactivating	6.02e-40	787
Macf1	17.1	365	3.9	1.0	Inactivating	9.75e-40	788
Vav2	7.3	173	3.8	2.0	Inactivating	1.06e-39	789
Cdh2	13.0	306	3.4	1.0	Inactivating	1.14e-39	790
Chd9	12.5	294	4.5	1.0	Inactivating	1.21e-39	791
Dusp16	6.3	148	3.4	1.0	Inactivating	3.42e-39	792
Sptlc2	6.4	151	2.8	1.0	Inactivating	3.8e-39	793
Mast2	10.8	230	4.8	1.0	Inactivating	3.93e-39	794
Rnf217	7.9	186	4.0	1.0	Inactivating	4.42e-39	795
Rnf216	7.4	174	2.9	1.0	Inactivating	5.35e-39	796
0610040J01Rik	6.0	141	5.0	1.0	Inactivating	5.66e-39	797
2610035D17Rik	7.6	178	5.2	1.0	Inactivating	6.77e-39	798
Spata13	7.3	173	3.0	1.0	Inactivating	6.94e-39	799
Osbpl9	9.4	201	3.5	1.0	Inactivating	1.01e-38	800
Atrx	9.6	227	3.3	1.0	Inactivating	1.7e-38	801
Hibadh	7.6	178	2.6	1.0	Inactivating	2.94e-38	802
Wdfy3	11.9	280	4.7	1.0	Inactivating	5.01e-38	803
Msi2	14.5	341	3.0	1.0	Inactivating	6.16e-38	804
Kat2b	6.5	153	3.5	2.0	Inactivating	6.62e-38	805
Cux1	14.0	329	3.3	1.0	Inactivating	1.06e-37	806
Ptk2	12.2	287	2.7	1.0	Inactivating	1.13e-37	807
Atp9b	11.9	280	3.6	1.0	Inactivating	1.62e-37	808
Cobll1	10.0	236	3.0	1.0	Inactivating	1.67e-37	809
Rc3h1	7.3	71	5.4	2.0	Inactivating	1.73e-37	810
Srgap2	14.6	141	8.4	2.0	Inactivating	3.24e-37	811
Ankfy1	6.2	146	3.2	1.0	Inactivating	3.57e-37	812
Smg6	12.5	294	2.6	1.0	Inactivating	6.39e-37	813
Ube2e3	5.3	124	2.8	1.0	Inactivating	6.73e-37	814
Thrb	16.4	387	6.7	2.0	Inactivating	7.89e-37	815
Tet3	5.2	122	4.5	2.0	Inactivating	8.02e-37	816
Ube4b	6.2	132	2.6	1.0	Inactivating	2.49e-36	817
Sgms1	12.7	300	3.8	2.0	Inactivating	2.77e-36	818
Atf2	7.2	170	2.5	1.0	Inactivating	4.44e-36	819
Ccdc6	5.6	133	3.0	1.0	Inactivating	5.25e-36	820
Pcm1	8.2	193	10.2	2.0	Inactivating	5.27e-36	821
Cblb	10.9	257	4.0	1.0	Inactivating	6.46e-36	822
Itsn2	7.9	186	4.8	2.0	Inactivating	7.21e-36	823
Smarcad1	6.1	144	2.9	1.0	Inactivating	1.11e-35	824
Bcar3	6.5	152	3.0	1.0	Inactivating	1.42e-35	825
Mapkap1	11.4	269	3.0	2.0	Inactivating	2.2e-35	826
Top2b	6.3	149	3.6	2.0	Inactivating	2.69e-35	827
Tmem161b	6.3	148	3.1	1.0	Inactivating	3.13e-35	828
Atxn7	6.6	155	3.6	1.0	Inactivating	4.65e-35	829
Lyst	10.7	253	3.2	1.0	Inactivating	5.32e-35	830
Atxn1	17.1	403	3.2	1.0	Inactivating	6.15e-35	831
Trio	12.4	293	7.6	1.0	Inactivating	8.91e-35	832
Nfat5	7.2	170	4.2	1.5	Inactivating	9.13e-35	833
Pawr	5.7	135	4.4	1.0	Inactivating	1.02e-34	834
Arhgef11	7.3	172	3.7	1.0	Inactivating	1.03e-34	835
Col18a1	5.7	134	7.3	1.0	Inactivating	1.12e-34	836
Prkd3	6.2	145	3.8	2.0	Inactivating	1.38e-34	837
Kif2a	5.7	135	5.2	2.0	Inactivating	1.76e-34	838
Lrrfip2	8.6	138	2.9	1.0	Inactivating	2.54e-34	839
Trim44	7.5	177	2.3	1.0	Inactivating	2.79e-34	840
Mpp5	7.6	179	3.3	1.0	Inactivating	4.71e-34	841
Usp24	8.8	188	6.2	1.0	Inactivating	7.63e-34	842
Psmd1	7.0	68	6.2	2.0	Inactivating	8.11e-34	843
Hbs1l	5.6	131	3.2	1.0	Inactivating	1.19e-33	844
Sfmbt1	7.3	172	2.3	1.0	Inactivating	1.29e-33	845
Arhgap29	5.7	135	3.3	1.0	Inactivating	1.31e-33	846
Rsbn1	5.1	120	2.9	1.0	Inactivating	1.37e-33	847
Hook1	5.3	114	3.2	2.0	Inactivating	1.89e-33	848
Pcnx	8.9	209	3.1	2.0	Inactivating	2.11e-33	849
Rras2	5.1	119	3.4	1.0	Inactivating	4.75e-33	850
Ppfibp2	8.5	199	2.8	1.0	Inactivating	1.11e-32	851
Esyt2	6.9	162	3.7	1.0	Inactivating	1.66e-32	852
Nptn	7.0	113	4.1	1.0	Inactivating	2.57e-32	853
4930511A08Rik	6.9	162	3.0	1.0	Inactivating	3.29e-32	854
Rufy3	5.6	133	2.9	2.0	Inactivating	6.81e-32	855
Rabgap1l	25.7	248	8.0	2.0	Inactivating	9.64e-32	856
Ibtk	6.4	102	2.7	1.0	Inactivating	1.08e-31	857
Slk	5.1	119	4.5	1.0	Inactivating	1.35e-31	858
Ralgapb	6.9	162	3.7	1.0	Inactivating	1.52e-31	859
Dapk1	7.8	183	2.6	1.0	Inactivating	1.74e-31	860
Ktn1	6.6	156	2.7	1.0	Inactivating	2.29e-31	861
Tgfbr2	6.2	100	6.0	1.0	Inactivating	2.99e-31	862
Alcam	12.2	288	4.5	1.5	Inactivating	4.08e-31	863
Ccser2	7.1	166	4.9	1.0	Inactivating	4.78e-31	864
St3gal3	9.4	201	3.1	1.0	Inactivating	6.5e-31	865
Phf14	10.4	244	3.9	1.0	Inactivating	9.03e-31	866
Inpp5f	6.1	143	3.0	1.0	Inactivating	1.29e-30	867
Rfx7	8.5	137	2.5	1.0	Inactivating	1.6e-30	868
Slco1b2	5.0	118	2.1	1.0	Inactivating	2.05e-30	869
Map3k3	5.4	127	7.3	1.0	Inactivating	2.08e-30	870
Iqgap1	5.5	129	2.9	1.0	Inactivating	2.31e-30	871
Pcmtd1	7.5	72	5.3	2.0	Indeterminate	2.65e-30	872
Uvrag	11.9	279	3.1	1.0	Inactivating	7.08e-30	873
Deptor	7.9	187	3.3	2.0	Inactivating	7.89e-30	874
Hmbox1	8.1	191	4.0	1.0	Inactivating	1.02e-29	875
Adam10	9.0	144	3.7	2.0	Inactivating	1.12e-29	876
Pank1	5.1	119	2.9	1.0	Inactivating	1.25e-29	877
Tpp2	7.0	68	8.2	1.0	Inactivating	1.37e-29	878
Fgd6	6.9	162	2.8	1.0	Inactivating	2.14e-29	879
Fam208a	5.2	123	2.9	1.0	Inactivating	2.51e-29	880
Atp11b	7.6	179	4.4	2.0	Inactivating	2.54e-29	881
Ext1	13.3	314	3.3	1.0	Inactivating	2.55e-29	882
Pbrm1	7.3	172	11.6	1.0	Inactivating	2.57e-29	883
Myo1e	10.7	172	2.8	1.0	Inactivating	4.46e-29	884
Aak1	8.5	199	2.6	1.0	Inactivating	6.06e-29	885
Ppp3ca	13.7	323	4.4	1.0	Inactivating	7.5e-29	886
Rapgef6	10.9	257	5.9	1.0	Inactivating	7.71e-29	887
Znrf2	5.6	131	3.0	1.0	Inactivating	8.53e-29	888
Eya3	6.2	132	3.2	2.0	Inactivating	8.71e-29	889
Elovl5	5.3	85	1.8	1.0	Inactivating	1.04e-28	890
Cdc73	8.9	86	5.0	2.0	Inactivating	1.19e-28	891
Ap2b1	6.8	161	3.8	1.0	Inactivating	1.32e-28	892
Ubn2	6.3	148	2.4	1.0	Inactivating	1.32e-28	893
Hacd2	5.8	137	3.8	1.0	Inactivating	1.58e-28	894
Pik3ap1	6.1	143	2.6	1.0	Inactivating	2e-28	895
Rabgap1	8.2	194	5.8	1.0	Inactivating	2.7e-28	896
Zfhx3	9.7	228	4.3	1.5	Inactivating	2.95e-28	897
Zmym4	8.1	173	3.0	1.0	Inactivating	2.99e-28	898
Zeb1	9.6	225	4.1	1.0	Inactivating	3.01e-28	899
Ino80d	5.8	56	3.4	2.0	Inactivating	4.05e-28	900
Epb4.1l4b	5.1	109	3.0	1.0	Inactivating	4.23e-28	901
Creb3l2	6.2	145	3.4	1.0	Inactivating	4.38e-28	902
Gng12	7.1	166	4.1	1.0	Inactivating	5.88e-28	903
Stag1	19.2	308	3.3	1.0	Inactivating	8.03e-28	904
Tmem131	9.3	90	12.0	2.0	Inactivating	1.37e-27	905
Dip2b	8.4	197	4.2	2.0	Inactivating	2.09e-27	906
Sos1	6.4	151	4.5	2.0	Indeterminate	2.59e-27	907
2310035C23Rik	8.5	82	5.7	2.0	Inactivating	2.79e-27	908
Fbxl17	19.0	447	3.6	1.0	Inactivating	3.59e-27	909
Mbtd1	5.1	121	4.8	1.0	Inactivating	3.63e-27	910
Chd7	9.4	201	3.3	1.0	Inactivating	3.9e-27	911
Ube3c	7.1	168	3.9	1.0	Inactivating	3.96e-27	912
Ngly1	5.1	121	2.6	1.0	Inactivating	4.03e-27	913
Dcbld1	5.6	131	3.1	1.0	Inactivating	6.57e-27	914
Phf21a	10.0	235	4.7	1.0	Inactivating	1e-26	915
Pias2	6.3	149	2.8	1.0	Inactivating	1.01e-26	916
Sos2	6.5	154	3.9	1.0	Inactivating	2.68e-26	917
Zcchc11	8.0	171	3.3	1.0	Inactivating	3.56e-26	918
Lrch1	9.0	212	3.3	1.0	Inactivating	7.76e-26	919
Trip11	5.4	126	3.0	1.0	Inactivating	7.82e-26	920
Rptor	11.0	258	5.2	1.0	Inactivating	9.41e-26	921
Tanc1	10.3	242	5.2	2.0	Inactivating	1.21e-25	922
Smarca2	8.7	204	3.0	1.0	Inactivating	1.46e-25	923
9930021J03Rik	6.9	162	3.4	1.0	Inactivating	1.68e-25	924
Csnk1g1	9.6	154	2.4	1.0	Inactivating	1.82e-25	925
Ascc3	14.6	343	3.1	1.0	Inactivating	2.91e-25	926
Gtf2f2	7.4	174	3.9	2.0	Inactivating	3.03e-25	927
Mcu	9.0	211	2.8	1.0	Inactivating	4.6e-25	928
Galnt1	5.8	136	3.1	1.0	Inactivating	4.94e-25	929
Phc3	5.2	123	4.6	1.0	Inactivating	5.22e-25	930
Cab39	5.5	53	6.3	2.0	Inactivating	6.2e-25	931
Dennd1b	12.7	123	3.6	2.0	Inactivating	6.21e-25	932
Fam49b	7.8	184	3.9	1.0	Inactivating	7.56e-25	933
March8	5.1	121	2.1	1.0	Inactivating	1.34e-24	934
Tgfbr1	5.2	111	2.6	1.0	Inactivating	1.93e-24	935
Bdp1	6.3	148	3.7	1.0	Inactivating	2.34e-24	936
Farp1	9.9	233	3.8	1.0	Inactivating	2.99e-24	937
Erc1	13.8	326	4.1	1.0	Inactivating	3.4e-24	938
Slc4a4	15.1	355	3.2	2.0	Inactivating	3.42e-24	939
Eif4g3	9.7	208	5.7	1.0	Inactivating	7.75e-24	940
Galnt2	5.1	119	5.9	2.0	Inactivating	1.04e-23	941
Cbl	6.3	101	3.1	1.0	Inactivating	1.32e-23	942
Prkca	15.0	352	4.2	1.0	Inactivating	1.47e-23	943
Helz	7.3	171	3.6	1.0	Inactivating	1.47e-23	944
Raph1	7.0	68	3.7	2.0	Inactivating	2.27e-23	945
Slc20a2	5.4	127	3.8	1.0	Inactivating	3.19e-23	946
Lrch3	6.3	148	2.8	1.0	Inactivating	3.27e-23	947
Ssh2	12.5	294	6.4	2.0	Inactivating	4.56e-23	948
Sacm1l	5.7	92	1.9	1.0	Inactivating	4.89e-23	949
Memo1	6.4	151	7.1	1.0	Inactivating	6.95e-23	950
Vmp1	6.5	153	3.9	1.0	Inactivating	9.85e-23	951
R3hdm1	9.9	96	3.5	1.0	Inactivating	1.02e-22	952
Phf20l1	5.7	134	3.2	1.0	Inactivating	1.11e-22	953
Znrf1	5.1	121	3.3	1.0	Inactivating	1.12e-22	954
Vprbp	5.3	85	2.6	1.0	Inactivating	1.13e-22	955
Shank2	8.9	210	3.7	1.0	Inactivating	1.3e-22	956
Ctbp2	6.4	151	2.5	1.0	Inactivating	1.79e-22	957
Cyfip1	5.7	134	7.0	2.0	Inactivating	3.67e-22	958
Zfp236	5.6	131	2.9	1.0	Inactivating	3.82e-22	959
Dgkd	5.9	57	6.5	2.0	Inactivating	5.46e-22	960
Vps41	8.4	198	3.4	2.0	Inactivating	1.19e-21	961
Shroom2	8.6	203	4.3	1.0	Inactivating	2.59e-21	962
Zhx2	6.5	154	18.0	1.0	Inactivating	5e-21	963
Zfp280d	7.9	127	2.3	1.0	Inactivating	1.43e-20	964
Bcr	5.8	137	3.5	1.0	Inactivating	1.59e-20	965
Kansl1l	8.3	80	6.2	2.0	Inactivating	2.17e-20	966
Rai14	7.2	169	3.4	2.0	Inactivating	2.45e-20	967
Tead1	9.3	220	3.9	1.0	Inactivating	4.06e-20	968
Met	6.6	155	8.2	1.0	Inactivating	4.44e-20	969
Abl2	6.3	61	3.1	1.0	Inactivating	5.32e-20	970
Reps1	5.1	119	2.9	1.0	Inactivating	8.06e-20	971
Smg7	5.8	56	3.8	2.0	Inactivating	8.5e-20	972
Sdc2	6.2	146	3.4	1.0	Inactivating	1.12e-19	973
Opa1	5.3	125	2.8	1.0	Indeterminate	1.57e-19	974
Sec24d	5.6	133	2.8	1.0	Inactivating	1.68e-19	975
Ptprg	22.7	534	3.9	1.0	Inactivating	1.69e-19	976
Gprin3	5.1	121	3.2	2.0	Inactivating	1.73e-19	977
Hivep1	6.7	158	5.6	1.0	Inactivating	1.95e-19	978
Agps	6.8	160	5.9	1.0	Inactivating	1.96e-19	979
Ate1	7.3	171	7.3	2.0	Indeterminate	2.16e-19	980
Atp2b1	6.6	155	3.6	2.0	Inactivating	2.57e-19	981
Agfg1	5.1	49	7.2	2.0	Inactivating	2.99e-19	982
Lrrc16a	11.1	261	3.8	1.0	Inactivating	3.11e-19	983
Atxn10	6.8	161	4.9	1.0	Inactivating	3.23e-19	984
Ptpn3	5.8	124	2.4	1.0	Inactivating	3.63e-19	985
Lrpprc	5.4	126	2.8	1.0	Inactivating	4.33e-19	986
Bmpr2	8.3	80	5.7	2.0	Inactivating	5.86e-19	987
Fam135a	6.7	65	13.5	2.0	Inactivating	7.55e-19	988
Acap2	6.2	147	6.4	1.0	Inactivating	8.77e-19	989
Traf3	5.2	123	6.9	1.0	Inactivating	1.17e-18	990
Kif21a	7.0	164	3.6	1.0	Inactivating	1.27e-18	991
Stim1	8.8	208	5.4	1.0	Inactivating	1.44e-18	992
Plxna2	10.0	97	4.1	2.0	Inactivating	1.55e-18	993
2210018M11Rik	5.2	122	3.6	1.0	Inactivating	2.45e-18	994
Tacc2	7.4	174	6.6	1.0	Inactivating	3.48e-18	995
Rab3gap1	5.4	52	11.0	2.0	Inactivating	3.64e-18	996
Ptpra	5.9	138	3.0	1.0	Inactivating	3.89e-18	997
Acvr1	6.4	151	2.8	1.0	Inactivating	5.12e-18	998
Snx24	7.0	165	3.3	2.0	Inactivating	5.16e-18	999
Eps15	7.0	150	7.0	1.0	Inactivating	8.07e-18	1000
Myo5b	11.6	272	5.5	1.0	Inactivating	8.67e-18	1001
Nfkb1	5.7	135	4.0	1.0	Inactivating	9.02e-18	1002
Fut8	11.9	280	2.5	1.0	Inactivating	9.73e-18	1003
Pou2f1	9.0	87	2.7	1.0	Inactivating	1.02e-17	1004
Camsap2	5.8	56	6.7	2.0	Inactivating	1.36e-17	1005
Baz1a	5.5	130	4.2	2.0	Inactivating	1.75e-17	1006
Gbe1	12.3	290	3.4	1.0	Inactivating	1.77e-17	1007
Kidins220	5.3	124	4.0	1.0	Inactivating	1.98e-17	1008
4930402H24Rik	6.5	152	2.3	1.0	Inactivating	1.99e-17	1009
Fryl	9.9	234	3.8	2.0	Inactivating	2.1e-17	1010
Sap130	5.2	123	3.9	1.0	Inactivating	2.1e-17	1011
Ahctf1	5.2	50	5.2	1.0	Indeterminate	2.25e-17	1012
Rasa2	7.1	114	4.2	1.0	Inactivating	2.55e-17	1013
Snx27	5.1	120	6.0	1.0	Inactivating	2.73e-17	1014
Nek7	8.3	80	6.0	2.0	Inactivating	2.75e-17	1015
2010111I01Rik	12.3	290	5.1	2.0	Inactivating	5.9e-17	1016
Rbpj	6.1	143	3.4	1.0	Inactivating	6.89e-17	1017
Klhl2	5.7	135	5.2	2.0	Inactivating	7.88e-17	1018
Fggy	16.1	345	3.2	1.0	Inactivating	9.05e-17	1019
Herc1	10.7	171	2.1	1.0	Inactivating	1.34e-16	1020
Atp11c	10.0	236	2.4	1.0	Inactivating	1.44e-16	1021
Map4k4	6.7	65	6.9	2.0	Inactivating	1.45e-16	1022
Adgra2	5.5	130	3.4	1.0	Inactivating	1.45e-16	1023
Kat6b	8.2	193	3.7	2.0	Inactivating	1.53e-16	1024
Bicc1	9.4	221	7.4	1.0	Inactivating	1.67e-16	1025
Phldb2	5.6	133	2.9	1.0	Inactivating	1.8e-16	1026
Eri3	6.3	135	2.9	1.0	Inactivating	2.52e-16	1027
Dpyd	30.0	706	4.0	2.0	Inactivating	4.33e-16	1028
Cftr	9.0	212	3.5	1.0	Inactivating	4.5e-16	1029
Ppfibp1	7.0	165	7.0	1.0	Inactivating	9.2e-16	1030
Glg1	5.8	137	3.7	2.0	Inactivating	1.05e-15	1031
Fto	12.8	301	4.2	2.0	Inactivating	1.08e-15	1032
Pld1	8.5	200	3.0	2.0	Inactivating	1.21e-15	1033
Cep350	8.0	77	35.7	2.0	Inactivating	1.23e-15	1034
Utrn	18.1	425	3.8	2.0	Inactivating	1.29e-15	1035
Spata5	9.3	218	3.5	2.0	Inactivating	1.77e-15	1036
