gene	frequency	observed	mean	median	pattern	pval	pvalr
Mllt3	10.7	228	5.6	1.0	Inactivating	0.00337	1213
Mad1l1	8.1	190	3.6	1.0	Inactivating	0.00344	1214
Arhgef28	9.7	228	3.7	1.0	Inactivating	0.00356	1215
Tox	12.1	259	3.1	1.0	Inactivating	0.0048	1216
Pds5b	6.1	144	2.6	1.0	Inactivating	0.00589	1217
Dock7	8.0	170	6.7	1.0	Inactivating	0.00621	1218
Braf	5.8	137	5.9	2.0	Inactivating	0.00651	1219
Kank1	6.4	151	2.5	1.0	Inactivating	0.00659	1220
Lyrm4	5.4	126	3.4	2.0	Inactivating	0.00781	1221
Epb4.1l4a	6.9	163	2.6	1.0	Inactivating	0.00918	1222
Frk	5.4	127	3.4	1.0	Inactivating	0.0103	1223
Kif13a	6.0	141	4.4	1.0	Inactivating	0.0103	1224
Exoc4	22.3	524	3.0	1.0	Inactivating	0.0118	1225
Camk1d	11.8	278	4.9	1.0	Inactivating	0.0169	1226
Neo1	8.3	133	2.5	1.0	Inactivating	0.0202	1227
Smoc1	5.4	128	3.0	1.0	Inactivating	0.0214	1228
Hs2st1	5.5	130	2.8	1.0	Inactivating	0.0274	1229
Abcb7	6.0	142	2.5	1.0	Inactivating	0.0354	1230
Mir99ahg	10.0	235	3.1	1.0	Inactivating	0.0392	1231
