gene	driver_citations	oncogene_citations	tumor_suppressor_citations	all_citations
S100A6	1	0	0	1
S100A7	0	1	0	1
S100A9	0	1	0	1
S100G	0	1	0	1
SAFB	0	0	1	1
SAMHD1	0	0	1	1
SCAF1	0	1	0	1
SCAI	0	0	1	1
SCAMP3	0	1	0	1
SCD5	1	0	0	1
SCN10A	1	0	0	1
SCN2A	0	0	1	1
SCN5A	0	1	0	1
SCPEP1	0	1	0	1
SDC1	0	1	0	1
SDHA	0	0	1	1
SDHAF1	0	0	1	1
SDHAF2	0	0	1	1
SEC23A	0	0	1	1
SEC31A	0	1	0	1
SELENOK	0	0	1	1
SEMA3E	0	1	0	1
SEMA6A	0	0	1	1
SEPT1	0	0	1	1
SEPT2	0	1	0	1
SERPINA3	0	1	0	1
SERPIND1	0	1	0	1
SERPINE2	1	0	0	1
SERPINI2	0	0	1	1
SERTAD1	0	1	0	1
SERTAD2	0	1	0	1
SETD5	0	1	0	1
SETX	0	0	1	1
SF1	0	1	0	1
SF3B3	0	1	0	1
SGCE	0	1	0	1
SGMS1	0	1	0	1
SGPP1	0	0	1	1
SH2B3	0	1	0	1
SH3BP2	0	0	1	1
SH3PXD2A	0	1	0	1
SHARPIN	0	1	0	1
SHBG	0	1	0	1
SHCBP1	0	1	0	1
SHISA3	0	0	1	1
SIAH2	0	0	1	1
SIL1	0	1	0	1
SIRPA	0	0	1	1
SIVA1	0	1	0	1
SIX3	0	0	1	1
SKI	0	1	0	1
SKIL	0	1	0	1
SLC10A1	0	0	1	1
SLC12A1	0	1	0	1
SLC12A3	1	0	0	1
SLC16A1	1	0	0	1
SLC16A2	0	1	0	1
SLC16A3	1	0	0	1
SLC1A2	0	1	0	1
SLC25A13	0	1	0	1
SLC25A22	0	1	0	1
SLC25A3	0	0	1	1
SLC25A43	0	0	1	1
SLC27A3	0	1	0	1
SLC28A1	0	0	1	1
SLC2A9	0	0	1	1
SLC35A4	0	1	0	1
SLC35E2A	0	0	1	1
SLC46A1	0	1	0	1
SLC46A2	0	0	1	1
SLC4A7	0	1	0	1
SLC7A1	0	0	1	1
SLC7A11	0	1	0	1
SLC7A5	0	1	0	1
SMAD1	0	0	1	1
SMARCA5	0	1	0	1
SMARCAL1	1	0	0	1
SMARCD2	0	0	1	1
SMC2	1	0	0	1
SMC4	0	1	0	1
SMCHD1	0	0	1	1
SMPDL3A	0	0	1	1
SMURF2	0	1	0	1
SNAP23	0	1	0	1
SNAP47	0	1	0	1
SNRPB	0	1	0	1
SNRPD3	0	0	1	1
SNRPE	0	1	0	1
SOCS6	0	0	1	1
SOCS7	0	1	0	1
SOD3	0	0	1	1
SORBS1	0	1	0	1
SOX14	0	0	1	1
SOX8	0	1	0	1
SP2	0	0	1	1
SP3	1	0	0	1
SPAG9	0	1	0	1
SPATA18	0	0	1	1
SPC24	0	1	0	1
SPDYA	0	1	0	1
SPEN	0	0	1	1
SPERT	0	1	0	1
SPIC	0	1	0	1
SPIN3	0	0	1	1
SPINK5	0	0	1	1
SPINT1	0	0	1	1
SPN	1	0	0	1
SPNS1	0	1	0	1
SPP2	0	1	0	1
SPRED1	1	0	0	1
SPRED2	0	0	1	1
SPRR3	0	0	1	1
SPRYD7	0	0	1	1
SPSB1	0	1	0	1
SRA1	0	0	1	1
SREBF1	1	0	0	1
SREBF2	0	0	1	1
SRM	0	1	0	1
SRPK2	0	1	0	1
SRPX2	0	1	0	1
SRSF7	0	1	0	1
SSR3	0	1	0	1
SSRP1	0	1	0	1
SSTR1	0	0	1	1
SSUH2	0	0	1	1
SSX1	0	1	0	1
SSX2IP	0	1	0	1
ST20	0	0	1	1
ST6GALNAC4	1	0	0	1
ST8SIA4	1	0	0	1
STAG1	0	0	1	1
STEAP2	1	0	0	1
STIL	0	1	0	1
STIP1	0	1	0	1
STK17A	0	1	0	1
STK19	1	0	0	1
STK26	0	1	0	1
STK35	0	1	0	1
STK38	0	1	0	1
STK38L	0	0	1	1
STK40	0	1	0	1
STOM	0	1	0	1
STRA6	0	1	0	1
STRA8	0	1	0	1
STRN	1	0	0	1
STX11	0	0	1	1
STX2	0	1	0	1
STX3	0	1	0	1
SUB1	0	1	0	1
SULT1E1	0	1	0	1
SUMO1	0	1	0	1
SUSD6	0	0	1	1
SVIL	1	0	0	1
SYNCRIP	0	1	0	1
SYNJ2BP	0	0	1	1
SYP	0	1	0	1
SYT13	0	0	1	1
SYT7	0	1	0	1
SZRD1	0	0	1	1
TAC1	0	0	1	1
TAF1L	0	1	0	1
TAF2	1	0	0	1
TAF4B	0	0	1	1
TAGLN2	0	1	0	1
TAX1BP1	1	0	0	1
TAX1BP3	0	1	0	1
TBC1D12	0	1	0	1
TBC1D3B	0	1	0	1
TBCE	1	0	0	1
TBX19	0	1	0	1
TBX21	1	0	0	1
TC2N	0	1	0	1
TCF19	0	0	1	1
TCIM	0	1	0	1
TCOF1	0	0	1	1
TCP1	1	0	0	1
TCTN1	0	1	0	1
TDG	0	0	1	1
TDO2	1	0	0	1
TECR	1	0	0	1
TENM3	0	0	1	1
TET3	0	0	1	1
TFAP2E	0	0	1	1
TFAP4	0	1	0	1
TFIP11	0	1	0	1
TGFA	0	1	0	1
TGFB1I1	0	1	0	1
TGIF1	0	1	0	1
TGM2	1	0	0	1
TGM3	0	0	1	1
THEMIS2	0	0	1	1
THOC1	0	1	0	1
THRB	0	0	1	1
TIAF1	0	0	1	1
TIMM17A	0	1	0	1
TIMP1	0	1	0	1
TINAGL1	0	1	0	1
TJP2	0	1	0	1
TLK2	0	1	0	1
TLL2	0	1	0	1
TLR3	1	0	0	1
TLR9	1	0	0	1
TM4SF1	0	0	1	1
TM4SF18	1	0	0	1
TM9SF4	0	1	0	1
TMBIM6	0	1	0	1
TMEM115	0	0	1	1
TMEM119	0	1	0	1
TMEM127	0	0	1	1
TMEM134	0	1	0	1
TMEM14A	0	1	0	1
TMEM173	0	0	1	1
TMEM196	0	0	1	1
TMEM88	0	0	1	1
TMIGD1	0	0	1	1
TMIGD3	0	0	1	1
TMPRSS11D	0	1	0	1
TMPRSS4	1	0	0	1
TMSB10	0	1	0	1
TMSB4Y	0	0	1	1
TNFAIP8L1	0	1	0	1
TNFRSF10D	0	1	0	1
TNFRSF18	0	0	1	1
TNFRSF19	1	0	0	1
TNFRSF21	0	1	0	1
TNFRSF6B	0	1	0	1
TNFSF12	0	0	1	1
TNFSF9	0	0	1	1
TNKS	0	1	0	1
TNS1	0	1	0	1
TOP1	0	1	0	1
TOPORS	0	0	1	1
TP53I11	0	0	1	1
TP53RK	1	0	0	1
TPI1	0	0	1	1
TPM2	0	0	1	1
TPM4	0	0	1	1
TPO	1	0	0	1
TPTE	0	0	1	1
TRA2B	0	1	0	1
TRABD2B	0	1	0	1
TRAF2	0	1	0	1
TRAF7	1	0	0	1
TRB	0	1	0	1
TRIM2	0	0	1	1
TRIM32	0	1	0	1
TRIM36	0	1	0	1
TRIM45	0	0	1	1
TRIM50	0	0	1	1
TRIM63	0	1	0	1
TRIM7	0	1	0	1
TRIP10	1	0	0	1
TRIP12	0	1	0	1
TRIT1	0	0	1	1
TRMT9B	0	0	1	1
TROAP	0	1	0	1
TRPC1	1	0	0	1
TRPV6	0	1	0	1
TRRAP	0	1	0	1
TSC22D1	0	0	1	1
TSGA10	0	0	1	1
TSPAN13	0	0	1	1
TSPAN18	0	0	1	1
TSPAN4	0	1	0	1
TSPAN7	0	0	1	1
TSTA3	0	1	0	1
TTC12	0	0	1	1
TTC36	0	0	1	1
TTC4	0	0	1	1
TTR	0	0	1	1
TUT1	0	0	1	1
TUT4	0	1	0	1
TXNDC5	0	1	0	1
TXNRD1	1	0	0	1
TXNRD2	0	1	0	1
TYMP	1	0	0	1
U2SURP	0	1	0	1
UBA7	0	0	1	1
UBB	0	1	0	1
UBE2I	0	0	1	1
UBE2K	0	1	0	1
UBE2T	0	1	0	1
UBQLN1	0	0	1	1
UBQLN4	0	0	1	1
UBTF	0	1	0	1
UCHL3	1	0	0	1
UNC93A	0	0	1	1
USE1	0	1	0	1
USH2A	0	0	1	1
USP1	0	1	0	1
USP14	0	1	0	1
USP16	0	0	1	1
USP17L2	0	0	1	1
USP36	0	1	0	1
USP44	0	0	1	1
USP46	0	0	1	1
USP6NL	0	1	0	1
USP8	0	1	0	1
UTS2	0	1	0	1
UVRAG	0	0	1	1
VASH1	0	0	1	1
VAV2	0	1	0	1
VCL	1	0	0	1
VCX	0	1	0	1
VDAC3	0	0	1	1
VEGFB	0	1	0	1
VEZT	0	0	1	1
VIP	0	1	0	1
VIPR2	0	1	0	1
VLDLR	0	0	1	1
VPS33B	0	0	1	1
VPS52	0	0	1	1
VSIG4	0	0	1	1
VTCN1	0	0	1	1
VTN	0	1	0	1
VWA2	0	1	0	1
VWCE	0	1	0	1
WAPL	0	1	0	1
WAS	0	0	1	1
WDR1	0	1	0	1
WDR12	0	1	0	1
WDR66	0	1	0	1
WDR76	0	0	1	1
WFDC1	0	0	1	1
WLS	0	1	0	1
WNT11	0	0	1	1
WNT4	0	0	1	1
WNT5B	0	0	1	1
WTIP	0	0	1	1
WWC1	0	0	1	1
XIAP	0	0	1	1
XPO5	0	1	0	1
XRCC2	0	1	0	1
XRCC6	0	0	1	1
XRN1	0	0	1	1
YARS	0	1	0	1
YBX3	1	0	0	1
YOD1	0	1	0	1
YTHDC1	0	0	1	1
ZAP70	0	1	0	1
ZAR1	0	0	1	1
ZBED9	0	1	0	1
ZBTB17	0	1	0	1
ZBTB18	0	0	1	1
ZBTB20	0	1	0	1
ZBTB4	0	0	1	1
ZBTB7B	0	1	0	1
ZC3H12A	0	0	1	1
ZC3H12D	0	0	1	1
ZC3H13	0	0	1	1
ZC3H14	0	0	1	1
ZC3H15	0	1	0	1
ZCCHC12	0	1	0	1
ZDHHC11B	0	1	0	1
ZDHHC2	0	0	1	1
ZDHHC3	0	0	1	1
ZFAND4	0	1	0	1
ZFP57	0	0	1	1
ZHX1	0	1	0	1
ZIM2	0	0	1	1
ZMYM2	1	0	0	1
ZMYND8	0	0	1	1
ZNF121	0	1	0	1
ZNF132	0	0	1	1
ZNF143	0	1	0	1
ZNF148	0	1	0	1
ZNF185	0	0	1	1
ZNF208	0	0	1	1
ZNF224	0	1	0	1
ZNF267	0	1	0	1
ZNF276	0	0	1	1
ZNF296	0	1	0	1
ZNF326	0	1	0	1
ZNF331	0	0	1	1
ZNF384	0	1	0	1
ZNF395	0	0	1	1
ZNF433	1	0	0	1
ZNF471	0	0	1	1
ZNF488	0	1	0	1
ZNF516	0	0	1	1
ZNF582	0	0	1	1
ZNF677	0	0	1	1
ZNF687	0	1	0	1
ZNF70	0	0	1	1
ZNFX1	0	0	1	1
ZSCAN18	0	0	1	1
ZSCAN22	1	0	0	1
ZSWIM5	0	0	1	1
ZWINT	0	1	0	1
